symptoms,disease
"weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Cervical Spondylosis
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Chicken Pox
"vomiting,sunken_eyes,dehydration,diarrhoea",Gastroenteritis
"vomiting,sweating,chest_pain",Heart Attack
"There are three general types of thoracic outlet syndrome:  Neurogenic (neurologic) thoracic outlet syndrome. This most common type of thoracic outlet syndrome is characterized by compression of the brachial plexus. The brachial plexus is a network of nerves that come from your spinal cord and control muscle movements and sensation in your shoulder, arm and hand. Venous thoracic outlet syndrome. This type of thoracic outlet syndrome occurs when one or more of the veins under the collarbone (clavicle) are compressed, resulting in blood clots. Arterial thoracic outlet syndrome. This is the least common type of TOS. It occurs when one of the arteries under the collarbone is compressed, resulting in bulging of the artery, also known as an aneurysm.  It's possible to have a mix of the three different types of thoracic outlet syndrome, with multiple parts of the thoracic outlet being compressed. Thoracic outlet syndrome symptoms can vary depending on the type. When nerves are compressed, signs and symptoms of neurogenic thoracic outlet syndrome include:  Numbness or tingling in your arm or fingers Pain or aches in your neck, shoulder, arm or hand Weakening grip  Signs and symptoms of venous thoracic outlet syndrome can include:  Discoloration of your hand (bluish color) Arm pain and swelling Blood clot in veins in the upper area of your body Arm fatigue with activity Paleness or abnormal color in one or more fingers or your hand Throbbing lump near your collarbone  Signs and symptoms of arterial thoracic outlet syndrome can include:  Cold fingers, hands or arms Hand and arm pain Lack of color (pallor) or bluish discoloration (cyanosis) in one or more of your fingers or your entire hand Weak or no pulse in the affected arm ",Thoracic Outlet Syndrome
"vomiting,dehydration,diarrhoea",Gastroenteritis
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances",Migraine
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances",Migraine
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Hepatitis E
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",Paralysis (Brain Hemorrhage)
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",Jaundice
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",Hypertension 
"Signs and symptoms of a broken nose include:  Pain or tenderness, especially when touching your nose Swelling of your nose and surrounding areas Bleeding from your nose Bruising around your nose or eyes Crooked or misshapen nose Difficulty breathing through your nose Discharge of mucus from your nose Feeling that one or both of your nasal passages are blocked ",Broken Nose
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",Tuberculosis
"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails",Psoriasis
"continuous_sneezing,shivering,chills,watering_from_eyes",Allergy
I have a rash on my face that is not healing. I have tried some medications but it is not helping much. I also have small sores near my nose that are painful and difficult to handle.,Impetigo
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",Aids
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching",Peptic Ulcer Diseae
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo
"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Diabetes 
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Hepatitis E
"I have a mild fever and blood in my urine. My head hurts almost constantly, and I frequently have to urinate very badly. I also have a pain in my lower back.",Urinary Tract Infection
"continuous_sneezing,chills,watering_from_eyes",Allergy
"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Diabetes 
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",Dengue
"           Female reproductive system            Female reproductive system   Female reproductive system The ovaries, fallopian tubes, uterus, cervix and vagina, also called the vaginal canal, make up the female reproductive system.               Female reproductive system                Female reproductive system         Female reproductive system   Female reproductive system The ovaries, fallopian tubes, uterus, cervix and vagina, also called the vaginal canal, make up the female reproductive system.       Female reproductive system   Female reproductive system The ovaries, fallopian tubes, uterus, cervix and vagina, also called the vaginal canal, make up the female reproductive system.     Female reproductive system   Female reproductive system The ovaries, fallopian tubes, uterus, cervix and vagina, also called the vaginal canal, make up the female reproductive system.  Close  Close Female reproductive system   Female reproductive system The ovaries, fallopian tubes, uterus, cervix and vagina, also called the vaginal canal, make up the female reproductive system.  Female reproductive system The ovaries, fallopian tubes, uterus, cervix and vagina, also called the vaginal canal, make up the female reproductive system. The ovaries, fallopian tubes, uterus, cervix and vagina, also called the vaginal canal, make up the female reproductive system. Early-stage cervical cancer generally produces no signs or symptoms. Signs and symptoms of more-advanced cervical cancer include:  Vaginal bleeding after intercourse, between periods or after menopause Watery, bloody vaginal discharge that may be heavy and have a foul odor Pelvic pain or pain during intercourse ",Cervical Cancer
"headache,dizziness,loss_of_balance,lack_of_concentration",Hypertension 
"vomiting,breathlessness,sweating,chest_pain",Heart Attack
"Waldenstrom macroglobulinemia is slow growing and may not cause signs and symptoms for many years. When they do occur, signs and symptoms may include:  Easy bruising Bleeding from the nose or the gums Fatigue Weight loss Numbness in your hands or feet Fever Headache Shortness of breath Changes in vision Confusion ",Waldenstrom Macroglobulinemia
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Hepatitis D
"chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",Pneumonia
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",Hypoglycemia
"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",Pneumonia
"breathlessness,sweating,chest_pain",Heart Attack
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Hepatitis C
"skin_rash,high_fever,blister,red_sore_around_nose",Impetigo
"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",Pneumonia
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",Paralysis (Brain Hemorrhage)
"skin_rash,blackheads,scurring",Acne
"I've been having trouble breathing lately. I've been coughing a lot, and my chest feels tight. I've also been feeling very tired and weak.",Bronchial Asthma
"weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Cervical Spondylosis
"chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",Pneumonia
"skin_rash,pus_filled_pimples,blackheads,scurring",Acne
I have a rash around my nose and lips that is red and painful. It has some yellow fluid coming out of it.,Impetigo
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Hyperthyroidism
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Chicken Pox
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Impetigo
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Alcoholic Hepatitis
"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine",Urinary Tract Infection
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",Arthritis
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Chronic Cholestasis
"vomiting,fatigue,anxiety,sweating,headache,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",Hypoglycemia
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",Osteoarthristis
"I have small dents in my nails. My joints are hurting a lot. I have a silver like dusting on my skin, especially on my back.",Psoriasis
"Usually within the first year of life, growth of a child with progeria slows markedly, but motor development and intelligence remain normal. Signs and symptoms of this progressive disorder include a distinctive appearance:  Slowed growth, with below-average height and weight Narrowed face, small lower jaw, thin lips and beaked nose Head disproportionately large for the face Prominent eyes and incomplete closure of the eyelids Hair loss, including eyelashes and eyebrows Thinning, spotty, wrinkled skin Visible veins High-pitched voice  Signs and symptoms also include health issues:  Severe progressive heart and blood vessel (cardiovascular) disease Hardening and tightening of skin on the trunk and extremities (similar to scleroderma) Delayed and abnormal tooth formation Some hearing loss Loss of fat under the skin and loss of muscle mass Skeletal abnormalities and fragile bones Stiff joints Hip dislocation Insulin resistance ",Progeria
